ngoId,fiscalYear,totalIncome,totalGrant,totalExpense,fulltimeEmployees,fulltimeVolunteers
c0122374-2311-3522-b981-050544c18cbf,,,,,10,0
2d08efde-fe5f-3942-adfd-658f3962ac02,,,,,1,6
319afb61-c2d1-3701-b41c-08df4f1eead5,,,,,23,18
ea43b309-b5f7-3fb2-b3a8-830a9ac94b6c,,,,,25,17
58f3c8a1-12d2-3021-9a3c-fe3373ff6caa,FY 2017-18,,,,1,20
d53412cf-2479-33d5-9416-4382e7929e91,,,,,32,300
3d04d893-7710-3c8b-a659-503a1a0a3c09,FY 2018-19,,,52.98,30,3
23944a34-64d7-3bcd-ac40-c49339fa2ff8,,,,,7,15
d7a1297a-f5a7-3cf5-a80e-6ef869de47dc,,,,,39,1
63b6cc87-f43a-3104-ae79-71023f88fb8e,FY 2018-19,,,Rs. 452272.20/-,4,5
2c226093-7902-32bd-968c-92f1551ecc4f,,,,,47,52
6e8a27d4-b2e3-304e-959b-d9a813d2eb16,,,,,20,24
cb16d552-39dd-3007-81b8-197be4307ae1,,,,,29,20
b7c773e4-a97b-303c-9796-986b4eae2a86,,,,,87,54
25a529a3-7d9b-3695-89e0-7d8811ffdae6,,,,,195,0
5775ee7c-1011-3048-b664-d342e4ec6dd7,,,,,32,10
fc949974-6e61-3039-b7d8-b5402c4b303b,,,,,117,342
8fb1ac00-f0d9-32e5-bb45-360cba0dab07,,,,,63,0
1f934110-bb1e-35b4-9ab0-5534b46e3b56,,,,,69,7
46cc5789-3cb0-3b98-bba5-1bff63aea14a,,,,,100,0
2e2634e1-7023-37b1-aec8-59c031577192,,,,,2000,10000
d8fcd2e3-87cd-320c-959c-4d08ef1f6f6a,FY 2019-20,,,seventy Lakh,13,1
258c3edf-1dcc-34a0-816c-867f23e0f653,,,,,9,49
12b7b594-2343-3c5f-a2d5-2d63bae5da41,,,,,12,120
622017d9-c79c-31a8-bd31-c86de44980d3,,,,,1140,
c6f7ccc7-06c2-39b1-be42-47c20f0b44b8,FY 2018-19,,,4569409,15,12
1b1a13f4-5508-3428-a5d3-d5fd893d2861,,,,,646,
a6b4efd8-22ec-32eb-a75d-3360fcc1c2dc,,,,,8,4
b90e5166-0cf7-395f-b57b-0d9363e869c4,,,,,1100,
b8b5711e-4fd3-3e22-b140-96ee41cdb07f,,,,,6,1
4d052144-7b6b-307f-8165-a011433e6cd3,,,,,53,1
4f902174-736f-3d76-9073-f678297dcae3,FY 2018-19,,,,10,28
31bc9e85-fb68-33cd-b034-65bb6b095701,,,,,55,15
f83c2a40-ed06-3708-84a1-3a5bd205f420,,,,,330,
72d1c400-b147-345b-bb4d-21a047f8b2a3,,,,,193,80
ef932a54-7a55-371a-b169-bd0ca1209aa3,,,,,4,34
ef0c1a4b-15d2-389c-9307-92ac421ae32f,,,,,7,5
32c7ef2d-6f59-351b-b0f2-7935bf03502b,,,,,11,0
29a6f541-f28c-35b3-906f-6e9bc24e5dfa,,,,,23,
da3a2c06-7cc5-39a9-8de7-fc535f14462d,,,,,46,15
9434ed9b-d877-36af-b6d9-881cfadb7147,,,,,23,20
a3e40e10-9be0-3981-b9a0-c3896e0ec32a,FY 2018-19,,,84.86,7,3
8346c3f5-a0eb-3b95-81a9-d10375755025,FY 2018-19,,,464958,30,
af59e252-2d2a-39c1-9f8c-8be47661ac1d,,,,,6,56
f4ec3361-522c-3e97-8e6b-ed3ac2a5943b,,,,,24,
e65791a0-052b-3d67-80fd-be8a54f18f26,,,,,230,30
fab982db-b305-35c8-aeda-9e0fd2a3ea94,,,,,0,13
71466870-0625-337b-b43e-c1c85f33a6d6,,,,,15,95
721205a8-0e8e-3f6d-ab6b-81da43964399,,,,,15,7
08ae762c-aa0c-32b9-b3e5-2b6998b1d572,,,,,334,
66f200ab-b76f-396b-8359-683443e93aa7,,,,,9,21
5ef27ea2-1c18-3b94-b02a-8c7dc01ba2d6,,,,,16,15
3ca230f6-dba7-336c-b8a8-44030cd12d9a,,,,,55,43
f4d50599-7601-30ca-b6c1-f2088cc374e6,,,,,95,2
658b117c-cbbf-3e35-95bd-d3dae79bca96,FY 2018-19,,,44272000,192,14
53202631-bb56-3a84-a25e-c5df02dc8b79,,,,,96,225
a7de127b-21ad-372c-a6e3-7c257c337946,FY 2018-19,,,,100,50
a46b07b3-0ad4-309b-b383-fe2adb9ba4f8,,,,,35,84
64c1a71b-c7da-301f-a374-81cb3cd64ee3,,,,,82,115
88a7a872-5bd9-34ea-a230-cd6ab2030bf2,,,,,24,40
f348bf29-b9a3-3452-ac63-603548f0dc85,,,,,180,
397f7ca6-d580-39e4-8231-c06b6316bc85,,,,,9,6
024f5d31-c61e-3cab-9b00-88dc7f6af6d6,,,,,5,27
69dc01da-163d-3de7-af01-268616d45bd5,,,,,7,
bc9d8734-94f8-3619-bd36-28f5a9d3fd31,FY 2018-19,,,2574229,20,0
71997585-af3b-34c3-8969-33d196293791,FY 2018-19,,,8,8,4
188e64fc-27a6-3a22-8316-0cfbf15b8191,,,,,13,25
75986570-da93-3fee-a74a-46a51dad2be4,FY 2018-19,,,5000000,17,4
